Deposition Time,Operation Time,Substrate T,Ar,N2,U,dU,power,w_p,goodtc
80,100,0,40,10,360,58,255,3.42,0
120,100,0,40,15,360,80,269,3.7,0
200,100,0,40,20,360,94,278,3.98,1
90,100,300,30,17,0,38,240,3.26,1
105,100,300,30,12,0,50,240,2.97,0
55,100,300,30,12,0,48,240,2.97,1
42,45.7142857142857,300,30,12,394,50,242.3,2.97,0
55,45.7142857142857,300,30,12,394,48,242.3,2.97,0
66,100,300,30,12,0,49,240,2.97,0
66,100,300,30,12,0,49,240,2.97,1
70,100,700,30,12,0,49,240,2.97,0
70,100,700,30,12,0,49,240,2.97,0
65,100,700,30,10,0,41,240,2.86,0
63,100,700,30,8,0,33,240,2.75,0
60,100,700,30,8,0,34,240,2.75,0
120,100,500,30,10,0,42,240,5.72,1
120,100,500,30,12,0,48,240,2.97,0
120,100,400,30,12,0,48,240,2.97,0
90,100,700,30,8,0,34,240,2.75,0
90,100,700,30,8,0,35,240,2.75,0
105,100,300,30,12,0,50,240,2.97,1
70,100,300,30,13,0,69,240,3.03,1
70,100,300,30,13,0,70,240,3.03,0
70,100,300,35,17,0,79,240,3.53,0
80,100,300,30,13,0,70,240,3.03,0
88,100,300,35,17,0,85,240,3.53,1
90,100,300,35,17,0,88,240,3.53,1
95,100,300,30,15,0,78,240,3.14,1
75,85.2285714285714,400,30,12,378,68,232.5,2.97,0
73,84,400,30,12,378,68,232.5,2.97,0
70,82.5714285714286,400,30,12,378,68,232.5,5.94,0
500,81.1428571428572,400,30,12,376,70,231.2,2.97,1
88,80,400,35,17,374,68,230,3.53,0
85,78.9714285714286,20,30,10,375,59,230.6,2.86,1
80,75.4,400,30,12,372,69,228.8,2.97,0
70,74.3714285714286,400,30,12,369,69,226.9,2.97,0
82,73.0285714285714,400,30,12,369,67,226.9,2.97,1
88,71.6857142857143,400,30,12,368,68,268,2.97,1
95,68.8571428571429,400,30,12,367,64,264.9,2.97,1
70,67.5142857142857,400,30,12,365,66,265,2.97,1
99,66.4571428571429,400,30,12,364,66,264.4,2.97,1
100,64.8285714285714,400,30,12,365,64,263.7,2.97,1
105,63.7714285714286,400,30,12,363,66,263.7,5.94,1
70,61.2,400,30,12,361,64,261.2,2.97,0
130,59.1428571428572,0,30,12,360,65,261.2,2.97,1
130,57.7428571428572,400,30,10,360,54,254.5,2.86,1
130,56.6857142857143,400,30,12,359,66,261.3,2.97,1
130,55.7428571428571,400,30,14,358,74,265.6,3.08,1
113,54.9142857142857,400,30,11,418,61,294.5,2.91,0
110,53.9142857142857,400,30,9,357,50,250.3,2.8,1
105,53.1714285714286,400,30,9,355,50,249,2.8,0
90,52.1714285714286,500,30,9,355,49,248.3,2.8,0
70,50.3714285714286,400,30,12,354,66,258.2,2.97,0
95,48.5714285714286,400,30,9,350,51,246.6,2.8,0
115,43.9714285714286,400,30,9,349,51,245.9,8.4,1
110,42,400,30,9,348,51,245.3,5.6,1
110,40.9714285714286,400,30,9,347,52,245.3,2.8,1
105,40.0571428571429,400,30,9,347,51,244.7,2.8,1
70,37.9142857142857,400,30,12,346,67,253.9,2.97,0
105,36.8857142857143,400,30,10,346,57,247.7,2.86,1
115,35.9428571428571,400,30,12,345,68,253.9,2.97,1
900,34.2285714285714,400,30,12,345,68,253.9,5.94,1
125,33.0285714285714,400,30,12,344,68,253.3,5.94,1
110,31.7428571428572,400,30,9,344,52,243.5,5.6,0
110,30.6857142857143,600,30,9,343,51,242.2,5.6,1
85,59.5142857142857,400,40,9,346,50,243.5,3.36,0
85,58.4,400,40,9,345,49,242.2,3.36,0
85,57.4857142857143,400,40,9,344,49,241.6,3.36,0
180,56.3714285714286,400,40,15,343,77,258.1,3.7,1
100,55.3428571428571,400,40,9,343,48,240.3,3.36,0
100,27.4285714285714,400,30,12,347,66,253.9,2.97,1
70,26.4857142857143,400,30,12,341,68,251.4,2.97,1
80,53.1428571428572,400,40,9,343,47,239.7,3.36,0
85,52.1714285714286,400,40,9,341,47,238.5,3.36,0
82,51.1428571428572,300,40,9,341,47,238.5,3.36,0
83,49.9428571428572,400,40,8,340,42,234.8,3.31,0
90,48.7428571428571,400,40,8,338,43,234.3,3.31,0
90,46.3428571428571,400,40,7,337,35,228.8,3.25,0
88,45.1428571428572,300,40,7,336,36,228.7,3.25,0
88,44,300,40,7,335,36,228.1,3.25,0
86,43,300,30,7,335,35,227.5,2.69,0
85,42,300,40,7,334,36,227.5,3.25,0
150,25,300,30,8,343,44,237.9,2.75,1
100,39.2285714285714,300,40,7,334,34,226.2,3.25,1
90,38.2285714285714,300,40,7,332,36,226.3,6.5,0
90,37.2285714285714,300,40,7,333,35,226.3,3.25,0
96,35.2285714285714,300,40,7,332,35,225.7,3.25,0
106,33.9428571428572,300,30,7,331,34,224.4,5.38,1
70,18.2857142857143,400,30,12,340,68,250.8,2.97,1
95,31,400,40,7,330,35,224.4,3.25,0
107,29.8,400,40,7,330,35,224.4,3.25,0
90,28.5714285714286,300,40,7,328,36,223.8,3.25,0
90,27.5714285714286,300,40,7,328,36,223.8,6.5,0
113,26.4857142857143,300,40,7,327,37,223.8,6.5,0
110,25.4285714285714,300,40,7,326,37,223.2,3.25,1
90,24.4285714285714,300,40,7,326,36,222.6,3.25,0
117,22.4285714285714,300,40,7,325,36,222,3.25,0
112,21.6857142857143,300,40,7,325,36,222,3.25,1
107,20.6571428571429,300,40,7,325,36,222,6.5,0
100,19.6571428571429,300,40,7,324,36,221.4,3.25,0
70,15.0571428571429,400,30,12,337,68,249,2.97,0
103,18.6857142857143,300,40,7,324,36,221.4,3.25,1
95,17.4285714285714,300,40,7,324,36,221.4,3.25,0
70,98.2857142857143,400,40,8,403,33,268,3.31,0
85,66.1428571428572,300,40,7,347,41,238.5,3.25,0
85,65.1428571428572,300,40,7,347,41,238.5,3.25,1
87,64.1428571428572,300,40,8.5,346,51,244.1,3.33,0
88,63.1428571428572,300,40,8.5,346,50,243.5,3.33,0
88,62,300,40,8.5,345,49,242.2,3.33,0
85,61,300,40,8.5,344,50,242.3,3.33,0
90,60,300,40,8.5,343,50,241.6,3.33,0
87,59,300,40,8.5,343,49,240.9,3.33,0
87,58,300,40,8.5,343,47,239.7,3.33,0
100,56.9714285714286,300,40,8.5,343,47,239.7,3.33,0
88,56,300,40,8.5,342,47,239.1,3.33,0
98,55,300,40,8.5,341,47,238.5,3.33,0
94,54,300,40,8.5,341,46,237.9,3.33,0
96,53,300,40,8.5,339,47,237.3,3.33,0
95,51.4285714285714,300,40,8.5,338,47,236.7,6.66,0
87,50.4285714285714,300,40,8.5,337,46,235.5,3.33,0
115,49.1428571428572,300,40,8.5,337,45,234.9,3.33,0
137,48.1428571428572,300,40,9,337,49,237.3,3.36,1
240,47,600,40,3,337,9,212.8,3.03,1
90,46,500,40,7,335,34,226.8,3.25,1
50,44.8571428571429,500,40,7,334,36,227.5,3.25,0
100,43.8571428571429,500,40,7,334,36,227.5,3.25,0
93,41.8571428571429,300,40,7,333,36,226.9,3.25,0
155,38.8,300,40,7,332,35,225.7,3.25,1
150,33,400,40,8,330,41,228,3.31,1
150,31.7142857142857,0,40,5,328,0,240,3.14,1
150,30.9142857142857,0,40,5,328,22,215.2,3.14,1
150,30.1142857142857,0,40,6,328,29,219.5,3.19,1
150,29.0571428571429,0,40,6,327,28,218.3,3.19,1
155,28.1142857142857,0,40,7,326,37,223.2,3.25,1
160,27.1428571428571,0,40,8,326,42,226.2,3.31,1
167,26.4285714285714,0,40,9,326,48,229.9,3.36,1
137,24.3142857142857,300,40,7.5,325,40,224.4,3.28,1
133,23.4857142857143,300,40,7.5,325,40,224.4,3.28,1
150,20.9142857142857,0,40,7.5,324,40,223.8,6.56,1
180,19.1428571428571,300,40,7.5,324,40,223.8,3.28,1
150,18.2857142857143,0,40,7.5,323,40,223.1,3.28,1
65,96.6285714285715,0,40,12,401,58,282.2,3.53,1
65,95.9714285714286,0,40,11,399,54,278.5,3.47,1
65,95.1714285714286,0,40,10,396,50,274.1,3.42,1
65,95.1714285714286,0,40,9,393,45,269.3,3.36,1
60,93.3714285714286,300,40,8,392,48,270.5,3.31,0
60,92.3714285714286,300,40,10,390,48,269.2,3.42,0
62,91.3714285714286,300,40,10,389,48,268.6,3.42,0
70,71.8857142857143,300,40,10,368,54,259.4,3.42,0
87,70.6571428571429,300,40,10,367,55,259.4,3.42,0
85,69.9428571428572,300,40,10,367,55,259.4,3.42,0
80,68.7714285714286,300,40,10,365,56,258.8,3.42,0
75,68.0857142857143,300,40,10,365,56,258.8,3.42,0
75,67.4,300,40,10,364,56,258.2,3.42,0
80,66.7142857142857,300,40,10,363,55,256.9,3.42,1
85,65.5428571428572,300,40,10,360,58,257,6.84,1
85,64.8,300,40,10,359,56,255.1,6.84,1
93,54.5714285714286,300,40,10,353,51,248.4,3.42,0
90,53.8571428571429,400,40,10,352,51,247.8,3.42,0
98,52.6571428571429,300,40,10,352,51,247.8,3.42,1
90,51.9428571428572,600,40,10,350,52,247.2,3.42,0
90,51.2285714285714,300,40,10,350,52,247.2,3.42,1
120,45.8857142857143,300,40,10,346,50,243.5,3.42,1
110,43.8857142857143,300,40,8,345,40,236.7,3.31,1
107,43.1714285714286,300,40,8,344,41,236.7,3.31,0
108,41.8857142857143,300,39,8,343,40,235.4,3.25,1
102,41.1714285714286,300,40,8,343,39,234.8,3.31,1
100,6.91428571428572,400,30,11,352,61,253.9,2.91,1
115,34.7714285714286,400,30,10,350,58,250.9,2.86,1
113,33.4857142857143,400,30,9,352,49,246.5,2.8,1
105,32.7714285714286,400,30,8,350,44,242.3,2.75,1
55,88.9714285714286,400,40,10,364,48,253.3,3.42,0
55,88.2857142857143,400,40,10,363,48,252.6,3.42,0
